dataset_name,performance,time_used
abalone,-9999,-9999
airbnb_melbourne,-9999,-9999
airlines,-9999,-9999
bioresponse,-9999,-9999
camo_sem_seg,-9999,-9999
cd18,-9999,-9999
climate_fever,-9999,-9999
covertype,-9999,-9999
electricity_hourly,-9999,-9999
europeanflooddepth,-9999,-9999
fiqabeir,-9999,-9999
gnad10,-9999,-9999
ham10000,-9999,-9999
hateful_meme,-9999,-9999
isic2017,-9999,-9999
kick_starter_funding,-9999,-9999
memotion,-9999,-9999
mldoc,-9999,-9999
nn5_daily_without_missing,-9999,-9999
petfinder,0.36940948843632426,4
road_segmentation,-9999,-9999
rvl_cdip,-9999,-9999
solar_10_minutes,-9999,-9999
women_clothing_review,-9999,-9999
yolanda,-9999,-9999
